Y,X,Type
40.7267099,-73.99613844,A
40.72861012,-73.99518843,A
40.72578169,-73.99241788,A
40.72266705,-74.00026862,A
40.73119461,-74.00005087,A
40.72821051,-73.99981172,A
40.72943879,-74.00099181,A
40.72387832,-73.99633416,A
40.72416846,-73.99438386,A
40.72459837,-74.00395591,A
40.73084729,-74.00091168,A
40.73007418,-74.00037516,A
40.72208862,-73.99843399,A
40.72345977,-73.99468359,A
40.7267099,-73.99613844,A
40.72225395,-73.99523101,A
40.72644239,-73.99919758,A
40.7245938,-73.9975036,A
40.72932886,-74.00156832,A
40.7245938,-73.9975036,A
40.72537294,-73.99264436,A
40.72251295,-73.99703497,A
40.71712284,-74.00466284,A
40.71887366,-74.01077173,A
40.71901841,-74.00347797,A
40.71730528,-74.00505586,A
40.72470943,-74.00607686,A
40.71587407,-74.00360864,A
40.71587407,-74.00360864,A
40.72520882,-74.00768149,A
40.72104189,-74.00265679,A
40.71887366,-74.01077173,A
40.71949656,-73.99625763,A
40.71757509,-74.00212438,A
40.71902629,-73.99994483,A
40.71807184,-73.99762656,A
40.72448429,-74.0065755,A
40.71757509,-74.00212438,A
40.7199206,-74.00798718,A
40.71587407,-74.00360864,A
40.71834484,-74.00384216,A
40.71707658,-74.00952107,A
40.72520882,-74.00768149,A
40.71907088,-73.99666373,A
40.71712284,-74.00466284,A
40.71979017,-74.00712787,A
40.71891946,-73.99752841,A
40.72000827,-74.00890785,A
40.72212738,-74.01009867,A
40.7215505,-74.00443309,A
40.72549534,-74.00535616,A
40.71944392,-74.00259879,A
40.72375121,-74.01030989,A
40.71754735,-74.01065321,A
40.72345667,-74.00612573,A
40.71887366,-74.01077173,A
40.72432776,-74.00544721,A
40.72141287,-74.00129306,A
40.71707658,-74.00952107,A
40.72143852,-74.00925763,A
40.71914959,-74.00363027,A
40.72520882,-74.00768149,A
40.71694741,-74.0039689,A
40.71957346,-74.00687725,A
40.72520882,-74.00768149,A
40.72520882,-74.00768149,A
40.7201542,-74.01078028,A
40.72225244,-74.0038228,A
40.71924782,-74.0080337,A
40.71887366,-74.01077173,A
40.71855116,-74.0042828,A
40.71949995,-73.99790987,A
40.71713462,-74.00455789,A
40.71855967,-74.00417098,A
40.71616043,-74.00421859,A
40.72449221,-74.00611374,A
40.72213128,-74.00048177,A
40.71925658,-74.00386094,A
40.72183419,-74.00418641,A
40.71587407,-74.00360864,A
40.7169304,-74.00587352,A
40.71587407,-74.00360864,A
40.72327818,-74.00953146,A
40.72083293,-73.99948366,A
40.71587407,-74.00360864,A
40.71408616,-73.99873784,A
40.71865715,-73.99540938,A
40.72036618,-74.00108686,A
40.72043696,-73.9966173,A
40.71712284,-74.00466284,A
40.71919477,-74.00455672,A
40.7185727,-73.99502004,A
40.71716169,-74.00461623,A
40.71930843,-73.9971752,A
40.718703,-74.00798886,A
40.71837271,-74.0073722,A
40.71660707,-74.00480908,A
40.72136639,-74.00906442,A
40.72083293,-73.99948366,A
40.72083293,-73.99948366,A
40.71720444,-74.00470835,A
40.71646461,-74.00486828,A
40.73758558,-74.00886116,A
40.73264139,-74.00887315,A
40.73260539,-74.00505167,A
40.7367699,-74.00444004,A
40.73461516,-74.00309441,A
40.73668679,-74.0049769,A
40.73668679,-74.0049769,A
40.73272567,-74.00448816,A
40.73811494,-74.00846847,A
40.73492018,-74.00771066,A
40.72738607,-74.0083388,A
40.7357986,-74.00137311,A
40.73383531,-74.00550379,A
40.73240615,-74.00177552,A
40.7366373,-74.0049381,A
40.73200533,-74.00777294,A
40.73306081,-74.00188629,A
40.73757641,-74.00756356,A
40.73395517,-74.00472704,A
40.73200533,-74.00777294,A
40.73527029,-74.00534881,A
40.73680686,-74.00384334,A
40.73836125,-74.00552265,A
40.73046629,-74.00209998,A
40.7369346,-74.00766892,A
40.73203303,-74.00342365,A
40.73566121,-74.00206279,A
40.73566701,-74.00222429,A
40.73940823,-74.00378307,A
40.73285513,-74.00426017,A
40.73711921,-74.00202539,A
40.73513153,-74.00141149,A
40.73722307,-74.00511915,A
40.73273359,-74.00464532,A
40.73299968,-74.00695529,A
40.73264139,-74.00887315,A
40.73751865,-74.00692503,A
40.73211199,-74.00522467,A
40.73406028,-74.00440886,A
40.7375236,-74.00474204,A
40.73406028,-74.00440886,A
40.7365482,-74.00200795,A
40.73415709,-74.00343497,A
40.73316652,-74.00326105,A
40.73433274,-74.00615481,A
40.73539103,-74.00326423,A
40.7277521,-74.00389698,A
40.73378611,-74.00180343,A
40.73129224,-74.00361719,A
40.73456252,-74.00101402,A
40.73566701,-74.00222429,A
40.73533592,-74.00835087,A
40.72954516,-74.00298645,A
40.7342169,-74.00340739,A
40.73471302,-74.0061497,A
40.73291276,-74.00575198,A
40.73273816,-74.00834417,A
40.73125172,-74.00374384,A
40.73509222,-74.00655891,A
40.73872347,-74.00527513,A
40.73543713,-74.00904129,A
40.73319627,-74.00537194,A
40.73499688,-74.00019193,A
40.73456252,-74.00101402,A
40.73140041,-74.00227181,A
40.73166503,-74.00153655,A
40.72910213,-74.00436788,A
40.73019421,-74.00522208,A
40.73368988,-74.00683802,A
40.73423592,-74.00770731,A
40.73320063,-74.00226729,A
40.73878193,-74.00884884,A
40.72700377,-74.00381182,A
40.73878193,-74.00884884,A
40.7381144,-74.0086952,A
40.73164126,-74.00593378,A
40.73471302,-74.0061497,A
40.72910213,-74.00436788,A
40.72721235,-74.00650937,A
40.73200533,-74.00777294,A
40.73078011,-74.004389,A
40.73195152,-74.00935553,A
40.73335419,-74.00468949,A
40.73517998,-74.00109156,A
40.73688268,-74.00329306,A
40.73014669,-74.00518913,A
40.73715597,-74.00579691,A
40.72738607,-74.0083388,A
40.73329321,-74.00509543,A
40.73878193,-74.00884884,A
40.73489604,-74.00153228,A
40.72839617,-74.00343816,A
40.72839617,-74.00343816,A
40.73162249,-74.00478781,A
40.73581524,-74.00636118,A
40.73062651,-74.00379413,A
40.7370452,-74.00140957,A
40.73383531,-74.00550379,A
40.73522708,-74.00077983,A
40.73878193,-74.00884884,A
40.72844759,-74.00339742,A
40.74971043,-73.98159399,A
40.74165764,-73.98316183,A
40.7411393,-73.97883392,A
40.74183655,-73.98309855,A
40.7411393,-73.97883392,A
40.74415322,-73.98560415,A
40.74430594,-73.97879326,A
40.74483069,-73.98565628,A
40.74408453,-73.97826269,A
40.74517091,-73.97894741,A
40.74252047,-73.97823687,A
40.74865749,-73.9735151,A
40.74483065,-73.97814694,A
40.74344839,-73.98385786,A
40.74690739,-73.97686174,A
40.74914117,-73.98041273,A
40.74661897,-73.98014795,A
40.74447371,-73.97522224,A
40.74350434,-73.97277489,A
40.74112514,-73.9807097,A
40.74210565,-73.977798,A
40.7449402,-73.98605191,A
40.74597331,-73.97860568,A
40.74748331,-73.98219548,A
40.74423248,-73.98055355,A
40.7451785,-73.97686987,A
40.7451785,-73.97686987,A
40.74350434,-73.97277489,A
40.74420947,-73.98035473,A
40.74554747,-73.97217676,A
40.7415835,-73.97599522,A
40.74720189,-73.97106775,A
40.74161778,-73.98115126,A
40.74350434,-73.97277489,A
40.74728931,-73.97218715,A
40.74914553,-73.97639872,A
40.7451785,-73.97686987,A
40.74407825,-73.98340432,A
40.74350434,-73.97277489,A
40.74359256,-73.9860038,A
40.74554747,-73.97217676,A
40.74548532,-73.98531405,A
40.74752966,-73.98520064,A
40.74280353,-73.98086544,A
40.74209471,-73.97918084,A
40.74720189,-73.97106775,A
40.74584851,-73.97844969,A
40.74161849,-73.98188728,A
40.7449402,-73.98605191,A
40.74407058,-73.97425757,A
40.74344701,-73.98444644,A
40.74868549,-73.97343756,A
40.74418277,-73.98029027,A
40.74297502,-73.98331245,A
40.74350434,-73.97277489,A
40.74418277,-73.98029027,A
40.74436164,-73.98749326,A
40.74690739,-73.97686174,A
40.75173193,-73.98214452,A
40.7417757,-73.98032925,A
40.74038682,-73.97903483,A
40.74164347,-73.97613679,A
40.75173193,-73.98214452,A
40.74495131,-73.9742931,A
40.74483065,-73.97814694,A
40.74350434,-73.97277489,A
40.74280353,-73.98086544,A
40.74597331,-73.97860568,A
40.74862011,-73.97901077,A
40.74384594,-73.97572079,A
40.74722796,-73.97379773,A
40.74865749,-73.9735151,A
40.74760158,-73.97853141,A
40.74418277,-73.98029027,A
40.74377507,-73.97569414,A
40.74529367,-73.97699426,A
40.75471413,-73.97208305,A
40.74893535,-73.97223619,A
40.75117676,-73.96934091,A
40.7528769,-73.96955297,A
40.7528769,-73.96955297,A
40.75377598,-73.96972371,A
40.75276877,-73.97121703,A
40.75241996,-73.9674533,A
40.75270624,-73.96724736,A
40.75175574,-73.96894713,A
40.75471413,-73.97208305,A
40.75402497,-73.9683982,A
40.74813262,-73.97111645,A
40.75313984,-73.97031363,A
40.75231049,-73.97413175,A
40.75314797,-73.98015013,A
40.75127776,-73.97153948,A
40.75231049,-73.97413175,A
