Coordinates,Y,X,Type
"40.777778192785, -73.975640076201",40.77777819,-73.97564008,B
"40.779041597051, -73.982571155756",40.7790416,-73.98257116,B
"40.785444616706, -73.982125741421",40.78544462,-73.98212574,B
"40.803029304744, -73.965771893955",40.8030293,-73.96577189,B
"40.804372965733, -73.961308195238",40.80437297,-73.9613082,B
"40.792895751443, -73.973656834091",40.79289575,-73.97365683,B
"40.774386665213, -73.953394672812",40.77438667,-73.95339467,B
"40.778180063133, -73.960411247779",40.77818006,-73.96041125,B
"40.77835088632, -73.954930991845",40.77835089,-73.95493099,B
"40.778179141124, -73.952523457796",40.77817914,-73.95252346,B
"40.78061291053, -73.956721785458",40.78061291,-73.95672179,B
"40.828813212378, -73.948868528916",40.82881321,-73.94886853,B
"40.760957513888, -73.998768857885",40.76095751,-73.99876886,B
"40.760685941559, -73.986109827639",40.76068594,-73.98610983,B
"40.762047707458, -73.991415237073",40.76204771,-73.99141524,B
"40.757751311528, -73.979278325094",40.75775131,-73.97927833,B
"40.706705395461, -74.005279743115",40.7067054,-74.00527974,B
"40.708095534103, -74.006240644495",40.70809553,-74.00624064,B
"40.707446649069, -74.00709031802",40.70744665,-74.00709032,B
"40.708093648175, -74.001675860026",40.70809365,-74.00167586,B
"40.708131743925, -74.005597668703",40.70813174,-74.00559767,B
"40.706705395461, -74.005279743115",40.7067054,-74.00527974,B
"40.711411708366, -74.007922976281",40.71141171,-74.00792298,B
"40.856633251932, -73.933089260912",40.85663325,-73.93308926,B
"40.764897973633, -73.960827912186",40.76489797,-73.96082791,B
"40.76564614231, -73.971966707135",40.76564614,-73.97196671,B
"40.769426199324, -73.969151136307",40.7694262,-73.96915114,B
"40.766796809978, -73.962707889249",40.76679681,-73.96270789,B
"40.765888044036, -73.961402826925",40.76588804,-73.96140283,B
"40.762931034324, -73.965922852031",40.76293103,-73.96592285,B
"40.766466143898, -73.960823805053",40.76646614,-73.96082381,B
"40.765139162897, -73.957522508668",40.76513916,-73.95752251,B
"40.780632985188, -73.987060084002",40.78063299,-73.98706008,B
"40.774106290552, -73.959083973411",40.77410629,-73.95908397,B
"40.772119360404, -73.952232773394",40.77211936,-73.95223277,B
"40.784188965701, -73.952890668974",40.78418897,-73.95289067,B
"40.78119461461, -73.957588306608",40.78119461,-73.95758831,B
"40.784436189935, -73.951928761765",40.78443619,-73.95192876,B
"40.78631080258, -73.955959702821",40.7863108,-73.9559597,B
"40.78382632266, -73.948123713",40.78382632,-73.94812371,B
"40.782353370815, -73.95242178531",40.78235337,-73.95242179,B
"40.778958700029, -73.948259080736",40.7789587,-73.94825908,B
"40.716802697031, -74.01481474471",40.7168027,-74.01481474,B
"40.716811204663, -74.014403863817",40.7168112,-74.01440386,B
"40.716070244422, -74.015010043054",40.71607024,-74.01501004,B
"40.718087936155, -74.01507617627",40.71808794,-74.01507618,B
"41.414748410819, -73.552874743231",41.41474841,-73.55287474,B
"41.414787993198, -73.552820625787",41.41478799,-73.55282063,B
"40.973076704411, -73.747277554938",40.9730767,-73.74727755,B
"40.910447040065, -73.779069024035",40.91044704,-73.77906902,B
"40.691566411901, -73.984432910867",40.69156641,-73.98443291,B
"40.649383277935, -73.946483793643",40.64938328,-73.94648379,B
"40.713064913039, -73.952131184727",40.71306491,-73.95213118,B
"40.783869950466, -73.825157002465",40.78386995,-73.825157,B
"40.730187674393, -73.807177987791",40.73018767,-73.80717799,B
