Coordinates,Y,X,Type
"40.710645476687, -74.010032198397",40.71064548,-74.0100322,B
"40.712621845637, -74.007928675976",40.71262185,-74.00792868,B
"40.710645476687, -74.010032198397",40.71064548,-74.0100322,B
"40.715513350775, -74.005960940386",40.71551335,-74.00596094,B
"40.723549542354, -73.984971481368",40.72354954,-73.98497148,B
"40.73347488918, -73.976714636188",40.73347489,-73.97671464,B
"40.728870248761, -73.980871221973",40.72887025,-73.98087122,B
"40.734103657647, -73.978223630217",40.73410366,-73.97822363,B
"40.723187947051, -73.976680438023",40.72318795,-73.97668044,B
"40.72902703226, -73.983236678868",40.72902703,-73.98323668,B
"40.733060906983, -73.975129283022",40.73306091,-73.97512928,B
"40.733060906983, -73.975129283022",40.73306091,-73.97512928,B
"40.738447537058, -73.983446142629",40.73844754,-73.98344614,B
"40.743998661984, -73.991373159919",40.74399866,-73.99137316,B
"40.742642050955, -73.989251700225",40.74264205,-73.9892517,B
"40.738589191222, -73.984683227718",40.73858919,-73.98468323,B
"40.742555298257, -73.986689268605",40.7425553,-73.98668927,B
"40.738520878711, -73.987694342615",40.73852088,-73.98769434,B
"40.743774110798, -73.987927443342",40.74377411,-73.98792744,B
"40.742642050955, -73.989251700225",40.74264205,-73.9892517,B
"40.733328331603, -73.97576312254",40.73332833,-73.97576312,B
"40.742225973281, -73.991132515478",40.74222597,-73.99113252,B
"40.744774246387, -73.991514995021",40.74477425,-73.991515,B
"40.740146336912, -73.98434541062",40.74014634,-73.98434541,B
"40.748488721786, -74.005999664779",40.74848872,-74.00599966,B
"40.747207966981, -74.00506374147",40.74720797,-74.00506374,B
"40.744610457097, -73.994888194834",40.74461046,-73.99488819,B
"40.748040289966, -74.005083187486",40.74804029,-74.00508319,B
"40.747177331125, -74.004984783942",40.74717733,-74.00498478,B
"40.744490176786, -74.00593378302",40.74449018,-74.00593378,B
"40.742233600813, -73.998909915797",40.7422336,-73.99890992,B
"40.748039703233, -74.003024508247",40.7480397,-74.00302451,B
"40.74334281997, -73.993917486628",40.74334282,-73.99391749,B
"40.734108309603, -73.998878316022",40.73410831,-73.99887832,B
"40.747249792678, -74.003043535167",40.74724979,-74.00304354,B
"40.747800651355, -74.004516989926",40.74780065,-74.00451699,B
"40.738492966973, -73.997450626454",40.73849297,-73.99745063,B
"40.748488721786, -74.005999664779",40.74848872,-74.00599966,B
"40.738187488512, -73.996715198269",40.73818749,-73.9967152,B
"40.742902898087, -73.998763838765",40.7429029,-73.99876384,B
"40.745651405652, -74.003249059433",40.74565141,-74.00324906,B
"40.741400565366, -74.000426704996",40.74140057,-74.0004267,B
"40.743275680925, -73.993758901019",40.74327568,-73.9937589,B
"40.744920419876, -74.006991160105",40.74492042,-74.00699116,B
"40.736248041846, -73.998388393781",40.73624804,-73.99838839,B
"40.748488721786, -74.005999664779",40.74848872,-74.00599966,B
"40.746669094426, -74.001638057642",40.74666909,-74.00163806,B
"40.737048555509, -73.998183456249",40.73704856,-73.99818346,B
"40.748182866139, -74.003368501553",40.74818287,-74.0033685,B
"40.744920419876, -74.006991160105",40.74492042,-74.00699116,B
"40.725912023674, -73.998077341354",40.72591202,-73.99807734,B
"40.725226132537, -73.994728519579",40.72522613,-73.99472852,B
"40.725677288475, -74.001979536378",40.72567729,-74.00197954,B
"40.731302299877, -74.000192430802",40.7313023,-74.00019243,B
"40.721294936129, -73.995611888354",40.72129494,-73.99561189,B
"40.722604943776, -73.999179477803",40.72260494,-73.99917948,B
"40.728534679268, -73.99996402394",40.72853468,-73.99996402,B
"40.725677288475, -74.001979536378",40.72567729,-74.00197954,B
"40.725458981807, -73.997872320003",40.72545898,-73.99787232,B
"40.727605922486, -74.002938426101",40.72760592,-74.00293843,B
"40.72191381395, -73.994425597598",40.72191381,-73.9944256,B
"40.725874053652, -74.00287187379",40.72587405,-74.00287187,B
"40.719790133051, -74.003460451031",40.71979013,-74.00346045,B
"40.721063386053, -73.999288610182",40.72106339,-73.99928861,B
"40.718873655758, -74.010771733714",40.71887366,-74.01077173,B
"40.724492213095, -74.006113742481",40.72449221,-74.00611374,B
"40.717161693944, -74.00461623166",40.71716169,-74.00461623,B
"40.719917621799, -73.997093725017",40.71991762,-73.99709373,B
"40.722107519732, -74.00394878071",40.72210752,-74.00394878,B
"40.717122843823, -74.004662835041",40.71712284,-74.00466284,B
"40.718873655758, -74.010771733714",40.71887366,-74.01077173,B
"40.720244013108, -73.998108102939",40.72024401,-73.9981081,B
"40.725208823907, -74.007681493651",40.72520882,-74.00768149,B
"40.717122843823, -74.004662835041",40.71712284,-74.00466284,B
"40.73699734208, -74.008854792457",40.73699734,-74.00885479,B
"40.732641392729, -74.008873148825",40.73264139,-74.00887315,B
"40.733166518963, -74.003261045554",40.73316652,-74.00326105,B
"40.734056467532, -73.999987828545",40.73405647,-73.99998783,B
"40.73121726547, -74.010005460125",40.73121727,-74.01000546,B
"40.73493103531, -74.007638159212",40.73493104,-74.00763816,B
"40.737414467492, -74.008194298487",40.73741447,-74.0081943,B
"40.729976366614, -74.003494984472",40.72997637,-74.00349498,B
"40.737272561871, -74.008260431703",40.73727256,-74.00826043,B
"40.729545159605, -74.002986454406",40.72954516,-74.00298645,B
"40.735432147391, -74.004202752376",40.73543215,-74.00420275,B
"40.733689884997, -74.006838022734",40.73368988,-74.00683802,B
"40.737414467492, -74.008194298487",40.73741447,-74.0081943,B
"40.729990951126, -74.003631693313",40.72999095,-74.00363169,B
"40.727752102878, -74.003896980548",40.7277521,-74.00389698,B
"40.740539324815, -74.00431758445",40.74053932,-74.00431758,B
"40.744940201167, -73.986051908688",40.7449402,-73.98605191,B
